Company Name,Rating,Review Count,Company Type,Headquarters,Company Age,Number of Employees
TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
Accenture,4.0,13.9k Reviews,Private,Dublin + 40 more,31 years old,10000+ employees
ICICI Bank,4.1,12.6k Reviews,Public,Mumbai + 42 more,26 years old,10000+ employees
Cognizant,3.9,12k Reviews,Private,Teaneck + 39 more,26 years old,10000+ employees
HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 46 more,26 years old,10000+ employees
Infosys,3.9,10.7k Reviews,Public,Bangalore + 40 more,39 years old,10000+ employees
L&T,4.1,10.1k Reviews,Public,Mumbai + 45 more,82 years old,10000+ employees
Capgemini,3.3,9.5k Reviews,Private,Paris + 36 more,53 years old,10000+ employees
Tech Mahindra,3.5,9k Reviews,Public,Pune + 45 more,34 years old,10000+ employees
HCL Technologies,3.7,8.6k Reviews,Public,Noida + 45 more,14 years old,10000+ employees
Tata Motors,4.1,8.2k Reviews,Public,Pune + 45 more,75 years old,10000+ employees
IBM,4.0,8.1k Reviews,Private,New York + 41 more,109 years old,10000+ employees
Reliance jio,4.0,7.8k Reviews,Public,Navi Mumbai + 43 more,10 years old,10000+ employees
Genpact,4.0,7.6k Reviews,Private,New York + 35 more,23 years old,10000+ employees
Axis Bank,4.0,7.5k Reviews,Public,Mumbai + 46 more,27 years old,10000+ employees
Wipro,3.8,6.4k Reviews,Public,Bangalore + 44 more,75 years old,10000+ employees
Concentrix Daksh Service...,4.0,6.1k Reviews,,New Delhi + 37 more,21 years old,10000+ employees
Vodafone,4.3,5.9k Reviews,Public,Berkshire + 50 more,38 years old,10000+ employees
HDB Financial Services,4.0,5.4k Reviews,Private,Ahmedabad + 42 more,13 years old,10000+ employees
Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 47 more,25 years old,10000+ employees
Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 41 more,17 years old,10000+ employees
Amazon,4.2,4.8k Reviews,Private,Washington + 44 more,26 years old,10000+ employees
Reliance,4.2,4.5k Reviews,Public,Mumbai + 45 more,54 years old,10000+ employees
Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 43 more,20 years old,10000+ employees
Bajaj Finserv,4.1,3.7k Reviews,Public,Pune + 45 more,13 years old,10000+ employees
IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 43 more,26 years old,10000+ employees
Samsung,4.2,3.5k Reviews,Private,Seoul + 45 more,82 years old,10000+ employees
Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 44 more,125 years old,10000+ employees
Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 45 more,75 years old,10000+ employees
Ericsson,4.1,3.1k Reviews,Private,Stockholm + 44 more,144 years old,10000+ employees
Maruti Suzuki,4.2,3.1k Reviews,Public,"New Delhi,India + 44 more",39 years old,10000+ employees
IDEA Cellular,4.3,3k Reviews,Partnership,Mumbai + 43 more,25 years old,10000+ employees
Intelenet Global Service...,3.7,2.9k Reviews,Private,Mumbai + 38 more,20 years old,10000+ employees
WNS,3.7,2.8k Reviews,Private,Mumbai + 18 more,24 years old,10000+ employees
Teleperformance,3.8,2.8k Reviews,Private,Paris + 40 more,42 years old,10000+ employees
Reliance Retail,4.2,2.8k Reviews,Private,Mumbai + 44 more,14 years old,10000+ employees
ICICI Prudential Life In...,4.2,2.7k Reviews,Public,Mumbai + 43 more,19 years old,10000+ employees
Cipla Pharmaceutical,4.0,2.7k Reviews,Public,Mumbai + 45 more,85 years old,10000+ employees
Aegis Global,3.6,2.6k Reviews,Private,Mumbai + 37 more,37 years old,10000+ employees
HSBC,4.1,2.6k Reviews,Private,London + 38 more,155 years old,10000+ employees
Janalakshmi Financial Se...,3.8,2.6k Reviews,Public,Bangalore + 40 more,12 years old,10000+ employees
Reliance Communications,3.9,2.6k Reviews,Public,Navi Mumbai + 45 more,18 years old,10000+ employees
Dr. Reddy's,4.2,2.5k Reviews,Public,Hyderabad + 46 more,36 years old,10000+ employees
Sutherland Global Servic...,3.9,2.5k Reviews,Private,Pittsford + 20 more,34 years old,10000+ employees
DXC Technology,3.2,2.4k Reviews,Public,Tysons + 24 more,3 years old,10000+ employees
Hewlett-Packard,4.3,2.4k Reviews,Private,California + 43 more,81 years old,10000+ employees
Future Group,4.2,2.4k Reviews,Private,Mumbai + 48 more,33 years old,10000+ employees
Home Credit Finance,4.0,2.3k Reviews,Private,Gurugram + 44 more,8 years old,10000+ employees
Aditya Birla Fashion and...,4.2,2.3k Reviews,Private,Mumbai + 46 more,5 years old,10000+ employees
Mphasis,3.8,2.3k Reviews,Public,Bangalore + 31 more,20 years old,10000+ employees
Bajaj Allianz Life Insur...,4.1,2.3k Reviews,Private,Pune + 43 more,19 years old,10000+ employees
Yes Bank,3.8,2.2k Reviews,Public,Mumbai + 45 more,16 years old,10000+ employees
Flipkart,4.3,2.2k Reviews,Private,Bangalore + 48 more,13 years old,10000+ employees
Lupin,4.2,2.2k Reviews,Public,Mumbai + 47 more,52 years old,10000+ employees
WIPRO CONSUMER CARE & LI...,3.8,2.1k Reviews,Private,Bengaluru + 46 more,75 years old,5001-10000 employees
OPPO,4.0,2.1k Reviews,Public,Shenzhen + 45 more,16 years old,10000+ employees
Ernst & Young,3.8,2.1k Reviews,Private,London + 43 more,31 years old,10000+ employees
HDFC LIFE,4.0,2.1k Reviews,Partnership,Mumbai + 44 more,20 years old,10000+ employees
PayTM,4.0,2k Reviews,Private,Noida + 46 more,10 years old,10000+ employees
Asian Paints,4.3,2k Reviews,Public,Mumbai + 46 more,78 years old,5001-10000 employees
Unilever,4.4,2k Reviews,Public,London + 49 more,91 years old,10000+ employees
Nokia,4.3,2k Reviews,Private,Espoo + 47 more,155 years old,10000+ employees
Deloitte,3.9,2k Reviews,Private,New York + 31 more,175 years old,10000+ employees
Wipro Infotech,3.9,2k Reviews,Private,Bangalore + 43 more,75 years old,10000+ employees
Wipro BPS,3.8,1.9k Reviews,,Bengaluru + 25 more,20 years old,10000+ employees
Shriram Transport Financ...,4.1,1.9k Reviews,Public,Mumbai + 46 more,41 years old,10000+ employees
Ashok Leyland,4.3,1.9k Reviews,Public,Chennai + 44 more,72 years old,10000+ employees
Shapoorji Pallonji,4.3,1.9k Reviews,Private,Mumbai + 48 more,155 years old,10000+ employees
Axis Securities,4.0,1.9k Reviews,Private,Mumbai + 46 more,15 years old,10000+ employees
Hyundai Motor,4.3,1.9k Reviews,Private,Seoul + 44 more,53 years old,10000+ employees
Sun Pharmaceutical Indus...,4.0,1.9k Reviews,Public,Mumbai + 46 more,37 years old,10000+ employees
Vivo Smartphone,4.0,1.9k Reviews,Private,Dongguan + 46 more,11 years old,10000+ employees
Zydus Cadila,4.0,1.9k Reviews,Public,"Ahmedabad, India + 47 more",68 years old,10000+ employees
ITC,4.1,1.8k Reviews,Public,Kolkata + 45 more,110 years old,10000+ employees
Apollo Hospitals,4.1,1.8k Reviews,Public,Chennai + 45 more,37 years old,10000+ employees
UltraTech Cement,4.4,1.8k Reviews,Public,Mumbai + 47 more,37 years old,10000+ employees
Muthoot Fincorp,3.9,1.8k Reviews,Private,Kochi + 46 more,133 years old,10000+ employees
Mahindra & Mahindra Fina...,4.3,1.8k Reviews,,Mumbai + 46 more,29 years old,10000+ employees
NTT DATA,3.6,1.8k Reviews,Private,"Tokyo, JAPAN + 20 more",32 years old,10000+ employees
Dominos Pizza,4.2,1.8k Reviews,Public,Ann Arbor + 45 more,60 years old,10000+ employees
IIFL,3.8,1.8k Reviews,Public,Mumbai + 43 more,25 years old,10000+ employees
IDFC FIRST Bank,4.0,1.7k Reviews,Public,Mumbai + 49 more,26 years old,5001-10000 employees
Bosch,4.2,1.7k Reviews,Public,Sttugart + 48 more,134 years old,10000+ employees
TVS Motor,4.2,1.7k Reviews,Public,Hosur + 47 more,41 years old,5001-10000 employees
Ujjivan Small Finance Ba...,4.1,1.7k Reviews,Public,Bengaluru + 43 more,3 years old,10000+ employees
UnitedHealth,4.1,1.7k Reviews,Private,Minnesota + 10 more,43 years old,10000+ employees
EXL Service,3.8,1.7k Reviews,Private,"New York, USA + 16 more",21 years old,10000+ employees
Wipro Enterprises Ltd,3.7,1.7k Reviews,,Bangalore + 41 more,75 years old,10000+ employees
JBM Group,4.0,1.6k Reviews,Public,Gurugram + 47 more,37 years old,10000+ employees
eClerx,3.7,1.6k Reviews,Public,Mumbai + 12 more,20 years old,5001-10000 employees
Aurobindo Pharma,4.1,1.6k Reviews,Public,Hyderabad + 25 more,34 years old,10000+ employees
Hero MotoCorp,4.2,1.6k Reviews,Public,New Delhi + 45 more,36 years old,10000+ employees
NIIT Technologies,3.8,1.6k Reviews,Public,Noida + 46 more,16 years old,5001-10000 employees
Muthoot Group,3.8,1.6k Reviews,Public,New Delhi + 45 more,133 years old,10000+ employees
Simplex Infrastructures,3.8,1.5k Reviews,Public,Kolkata + 44 more,96 years old,5001-10000 employees
Cyient,3.6,1.5k Reviews,Public,Hyderabad + 20 more,29 years old,10000+ employees
Oracle,3.7,1.5k Reviews,Private,California + 25 more,43 years old,10000+ employees
Mylan Laboratories,4.2,1.5k Reviews,Private,"Canonsburg,Pennsylvania + 37 more",59 years old,10000+ employees
Syntel,3.5,1.5k Reviews,Private,Troy + 12 more,40 years old,10000+ employees
Max Life Insurance,4.3,1.5k Reviews,Partnership,Gurugram + 48 more,20 years old,10000+ employees
Fidelity National Inform...,3.9,1.5k Reviews,Private,Florida + 20 more,52 years old,10000+ employees
JP Morgan Chase,4.1,1.5k Reviews,Private,New York + 8 more,221 years old,10000+ employees
Tata Teleservices,4.3,1.4k Reviews,Public,Mumbai + 47 more,24 years old,1001-5000 employees
JustDial,3.8,1.4k Reviews,Public,Mumbai + 46 more,24 years old,10000+ employees
Siemens India,4.2,1.4k Reviews,Public,Mumbai + 46 more,153 years old,1001-5000 employees
Lava International,4.1,1.4k Reviews,Public,Noida + 44 more,11 years old,10000+ employees
PwC,3.6,1.4k Reviews,Partnership,New York + 38 more,22 years old,10000+ employees
First Source,4.0,1.4k Reviews,Public,Mumbai + 30 more,19 years old,10000+ employees
Arvind Group,4.3,1.4k Reviews,Public,Ahmedabad + 45 more,89 years old,10000+ employees
Dell,4.1,1.4k Reviews,Private,Texas + 41 more,36 years old,10000+ employees
State Bank of India,4.1,1.4k Reviews,Private,Mumbai + 46 more,65 years old,10000+ employees
Manappuram Finance,3.9,1.4k Reviews,Public,Thrissur + 45 more,71 years old,10000+ employees
Motherson Sumi Systems,3.9,1.4k Reviews,Public,Noida + 44 more,34 years old,10000+ employees
Oyo Rooms,3.5,1.3k Reviews,Private,Gurgaon + 46 more,7 years old,10000+ employees
Godrej & Boyce Manufactu...,4.0,1.3k Reviews,Private,Mumbai + 44 more,123 years old,10000+ employees
Larsen & Toubro Infotech,3.6,1.3k Reviews,Public,Mumbai + 43 more,24 years old,10000+ employees
TATA Steel,4.2,1.3k Reviews,Public,Mumbai + 47 more,113 years old,10000+ employees
Abbott Healthcare,4.2,1.3k Reviews,Public,Illinois + 48 more,132 years old,10000+ employees
McDonald's,4.3,1.3k Reviews,Private,Chicago + 47 more,66 years old,10000+ employees
LG Electronics,4.1,1.3k Reviews,Public,Greater Noida + 44 more,23 years old,10000+ employees
NCC,4.2,1.3k Reviews,Public,Hyderabad + 44 more,42 years old,5001-10000 employees
Renault-Nissan,4.0,1.3k Reviews,Partnership,Amsterdam + 44 more,21 years old,10000+ employees
Fullerton India,4.2,1.3k Reviews,Private,Mumbai + 44 more,13 years old,10000+ employees
Gati kwe,4.0,1.3k Reviews,Private,Hyderabad + 44 more,8 years old,5001-10000 employees
JSW Steel,4.0,1.3k Reviews,Public,Mumbai + 44 more,38 years old,10000+ employees
Suzlon Group,4.1,1.3k Reviews,Public,Pune + 45 more,25 years old,5001-10000 employees
Ford Motor,4.4,1.3k Reviews,Private,Michigan + 43 more,117 years old,10000+ employees
RBS,4.1,1.3k Reviews,Private,Edinburgh + 18 more,293 years old,10000+ employees
Tata Communications,4.2,1.3k Reviews,Public,Mumbai + 43 more,34 years old,10000+ employees
Shoppers Stop,4.3,1.3k Reviews,Public,Mumbai + 42 more,29 years old,10000+ employees
Hindustan Coca Cola Beve...,4.4,1.3k Reviews,Private,Bangalore + 44 more,23 years old,10000+ employees
Sodexo,4.2,1.3k Reviews,Private,Paris + 45 more,54 years old,10000+ employees
Mindtree,3.8,1.3k Reviews,Public,Bangalore + 14 more,21 years old,10000+ employees
TAFE - Tractors and Farm...,4.2,1.2k Reviews,Public,Chennai + 43 more,60 years old,5001-10000 employees
Omega Healthcare,3.9,1.2k Reviews,Private,Florida + 13 more,16 years old,10000+ employees
Royal Enfield,4.2,1.2k Reviews,Private,Chennai + 43 more,119 years old,10000+ employees
Atos,3.8,1.2k Reviews,Private,Bezons + 20 more,23 years old,10000+ employees
Bajaj Auto,4.1,1.2k Reviews,Public,Pune + 47 more,75 years old,10000+ employees
Subros,4.0,1.2k Reviews,Public,New Delhi + 19 more,35 years old,1001-5000 employees
Bandhan Bank,3.8,1.2k Reviews,Public,Pune + 47 more,12 years old,10000+ employees
AU Small Finance Bank,3.8,1.2k Reviews,Private,Jaipur + 46 more,24 years old,10000+ employees
Hetero Drugs,4.0,1.2k Reviews,Private,Hyderabad + 15 more,27 years old,10000+ employees
Megha Engineering and In...,4.3,1.2k Reviews,Private,Hyderabad + 45 more,31 years old,5001-10000 employees
Honda,4.2,1.2k Reviews,Private,Tokyo + 48 more,72 years old,10000+ employees
iEnergizer,3.6,1.2k Reviews,Private,Noida + 8 more,20 years old,10000+ employees
JLL,4.3,1.1k Reviews,Private,Illinois + 42 more,23 years old,10000+ employees
Thermax,4.2,1.1k Reviews,Public,Pune + 44 more,54 years old,10000+ employees
Huawei Technologies,3.6,1.1k Reviews,Private,Shenzhen + 45 more,33 years old,10000+ employees
KPMG,3.7,1.1k Reviews,Partnership,Amstelveen + 32 more,33 years old,10000+ employees
Equitas Small Finance Ba...,3.8,1.1k Reviews,Private,Chennai + 46 more,13 years old,10000+ employees
Cgi Group,3.9,1.1k Reviews,Private,Montreal + 7 more,44 years old,10000+ employees
PepsiCo,4.4,1.1k Reviews,Private,New York + 46 more,122 years old,10000+ employees
Schneider Electric,4.2,1.1k Reviews,Private,Rueil-Malmaison + 45 more,184 years old,10000+ employees
HCL Infosystems,3.9,1.1k Reviews,Public,Noida + 49 more,44 years old,10000+ employees
DTDC Express,3.9,1.1k Reviews,Private,Bangalore + 44 more,30 years old,10000+ employees
Titan Company,4.4,1.1k Reviews,Public,Bangalore + 48 more,36 years old,5001-10000 employees
Future Retail,4.2,1.1k Reviews,Public,Mumbai + 45 more,33 years old,10000+ employees
SBI Life Insurance Compa...,3.9,1.1k Reviews,Public,Mumbai + 47 more,20 years old,10000+ employees
Hexaware Technologies,3.5,1.1k Reviews,Public,Mumbai + 14 more,30 years old,10000+ employees
Reliance Life Insurance,3.8,1.1k Reviews,Private,Mumbai + 45 more,19 years old,10000+ employees
John Deere,4.4,1.1k Reviews,Private,Moline + 46 more,183 years old,10000+ employees
CMS IT Services,3.2,1.1k Reviews,Private,Bengaluru + 47 more,44 years old,5001-10000 employees
ABB Group,4.2,1.1k Reviews,Public,Zurich + 48 more,32 years old,10000+ employees
Fortis Healthcare,4.1,1.1k Reviews,Public,Gurugram + 44 more,19 years old,10000+ employees
CBRE,4.2,1.1k Reviews,Private,Los Angeles + 33 more,114 years old,10000+ employees
State Street Syntel,3.8,1.1k Reviews,Private,Mumbai + 5 more,40 years old,10000+ employees
Ipca Laboratories,4.0,1.1k Reviews,Public,Mumbai + 48 more,71 years old,10000+ employees
Glenmark Pharmaceuticals,4.1,1.1k Reviews,Public,Mumbai + 45 more,43 years old,10000+ employees
BNY Mellon,3.9,1.1k Reviews,Private,New York + 5 more,236 years old,10000+ employees
Life Insurance Corporati...,4.4,1k Reviews,Private,Mumbai + 43 more,64 years old,10000+ employees
Kec International,4.3,1k Reviews,Public,Mumbai + 44 more,75 years old,5001-10000 employees
SBI Cards & Payment Serv...,4.0,1k Reviews,Private,Gurugram + 46 more,22 years old,1001-5000 employees
VE Commercial Vehicles,4.1,1k Reviews,Private,Gurugram + 48 more,12 years old,10000+ employees
Standard Chartered Bank,4.0,1k Reviews,Private,London + 42 more,51 years old,10000+ employees
Bel,4.4,1k Reviews,Private,Bangalore + 21 more,66 years old,10000+ employees
Eureka Forbes,4.0,1k Reviews,Private,Mumbai + 46 more,38 years old,10000+ employees
Dewan Housing Finance Co...,4.4,1k Reviews,Public,Mumbai + 44 more,36 years old,1001-5000 employees
Landmark Group,4.2,1k Reviews,Private,Dubai + 49 more,47 years old,10000+ employees
Bhushan Power & Steel,3.8,1k Reviews,Private,New Delhi + 38 more,50 years old,5001-10000 employees
Pfizer,4.4,1k Reviews,Public,New York + 44 more,171 years old,10000+ employees
Intas Pharmaceuticals,4.2,1k Reviews,Private,Ahmedabad + 46 more,36 years old,10000+ employees
Honda Motorcycle & Scoot...,4.2,1k Reviews,Private,Gurugram + 47 more,21 years old,1001-5000 employees
Torrent Pharmaceuticals,4.2,1k Reviews,Public,Ahmedabad + 48 more,61 years old,10000+ employees
Rivigo,3.8,1k Reviews,Private,Gurgaon + 49 more,6 years old,10000+ employees
Havells,4.2,1k Reviews,Public,Noida + 45 more,62 years old,10000+ employees
ICICI Lombard General In...,4.0,997 Reviews,Public,Mumbai + 47 more,19 years old,5001-10000 employees
Cholamandalam Investment...,4.2,995 Reviews,Private,Chennai + 43 more,42 years old,10000+ employees
Alkem Laboratories,4.1,992 Reviews,Public,Mumbai + 49 more,47 years old,10000+ employees
KPIT Technologies,3.6,991 Reviews,Private,Pune + 17 more,26 years old,5001-10000 employees
ACC,4.2,991 Reviews,Public,Mumbai + 48 more,84 years old,10000+ employees
Cummins Sales and Servic...,4.3,990 Reviews,Private,Columbus + 47 more,101 years old,1001-5000 employees
Deutsche Bank AG,4.1,989 Reviews,,Frankfurt + 21 more,150 years old,10000+ employees
Jindal Steel and Power,4.1,986 Reviews,Private,New Delhi + 49 more,68 years old,10000+ employees
Indian Oil Corporation,4.4,986 Reviews,Private,New Delhi + 48 more,61 years old,10000+ employees
UST Global,3.8,983 Reviews,Private,Aliso Viejo + 21 more,21 years old,10000+ employees
IQVIA,4.0,983 Reviews,Partnership,Durham + 23 more,38 years old,10000+ employees
Varun Beverages,4.1,982 Reviews,Public,Gurgaon + 47 more,25 years old,1001-5000 employees
Ecom Express,4.1,975 Reviews,Private,Gurugram + 47 more,8 years old,10000+ employees
Indiamart Intermesh,3.7,969 Reviews,Private,Noida + 45 more,24 years old,1001-5000 employees
G4S,4.2,964 Reviews,Private,London + 48 more,119 years old,10000+ employees
Aircel,4.3,959 Reviews,Private,Mumbai + 47 more,21 years old,5001-10000 employees
Flextronics Technologies,4.0,955 Reviews,Private,San Jose + 18 more,51 years old,10000+ employees
L & T Finance,4.1,953 Reviews,Public,Mumbai + 46 more,26 years old,10000+ employees
Bajaj Electricals,4.3,953 Reviews,Public,Mumbai + 49 more,82 years old,10000+ employees
D Mart,4.2,945 Reviews,Private,Mumbai + 47 more,20 years old,1001-5000 employees
Dabur,4.3,929 Reviews,Public,New Delhi + 46 more,136 years old,10000+ employees
Radisson Hotels,4.2,929 Reviews,Private,Brussels + 46 more,60 years old,10000+ employees
Indian Navy,4.7,928 Reviews,Private,New Delhi + 42 more,73 years old,10000+ employees
Macleods Pharmaceuticals,4.1,927 Reviews,Public,Mumbai + 46 more,34 years old,5001-10000 employees
American Express,4.3,923 Reviews,Public,New York + 24 more,170 years old,10000+ employees
Apollo Tyres,4.3,923 Reviews,Public,Gurgaon + 48 more,48 years old,10000+ employees
Hindalco Industries,4.3,910 Reviews,Public,Mumbai + 46 more,62 years old,10000+ employees
Videocon d2h,3.8,908 Reviews,Public,Mumbai + 47 more,11 years old,5001-10000 employees
Alembic Pharmaceuticals,4.1,908 Reviews,Public,Vadodara + 48 more,113 years old,10000+ employees
RSPL Group,4.0,908 Reviews,Private,Kanpur + 48 more,32 years old,10000+ employees
BHEL,4.4,904 Reviews,Private,New Delhi + 46 more,64 years old,10000+ employees
Delhi Public School,4.0,904 Reviews,Private,Delhi + 47 more,71 years old,10000+ employees
Capita,3.6,898 Reviews,Private,"London,England + 6 more",36 years old,10000+ employees
MAGMA Fincorp,4.2,897 Reviews,Public,Kolkata + 47 more,32 years old,10000+ employees
Maersk Global Service Ce...,4.2,895 Reviews,Private,Copenhagen + 9 more,21 years old,10000+ employees
Patanjali Ayurved,3.8,890 Reviews,Private,New Delhi + 48 more,14 years old,10000+ employees
Wells Fargo,4.1,879 Reviews,Private,San Francisco + 8 more,168 years old,10000+ employees
DCB Bank,3.9,877 Reviews,Private,Mumbai + 44 more,90 years old,5001-10000 employees
Thomson Reuters,4.2,873 Reviews,Private,Toronto + 16 more,12 years old,10000+ employees
Amdocs,4.0,872 Reviews,Private,Chesterfield + 6 more,38 years old,10000+ employees
Team Lease,4.0,869 Reviews,Public,Bangalore + 48 more,18 years old,10000+ employees
TVS Sundram Fasteners,4.0,862 Reviews,Public,Chennai + 24 more,54 years old,10000+ employees
Karvy Fintech,3.6,859 Reviews,,Hyderabad + 46 more,42 years old,5001-10000 employees
Big Bazaar,4.3,859 Reviews,Private,Mumbai + 42 more,19 years old,10000+ employees
Pidilite Industries,4.4,858 Reviews,Public,Mumbai + 44 more,61 years old,1001-5000 employees
Max Healthcare,4.1,853 Reviews,Partnership,New Delhi + 41 more,35 years old,1001-5000 employees
Rane TRW Steering System...,4.1,853 Reviews,Private,Chennai + 41 more,33 years old,5001-10000 employees
Ceat Tyres,4.3,847 Reviews,Public,Mumbai + 47 more,62 years old,10000+ employees
Delhivery,4.1,845 Reviews,Private,Gurgaon + 47 more,9 years old,10000+ employees
Nestle,4.2,839 Reviews,Public,Vevey + 47 more,154 years old,10000+ employees
Adani Power,4.3,835 Reviews,Public,Ahmedabad + 47 more,24 years old,1001-5000 employees
Jet Airways,4.5,832 Reviews,Public,Mumbai + 41 more,27 years old,10000+ employees
Wockhardt,4.2,828 Reviews,Public,Mumbai + 48 more,21 years old,5001-10000 employees
Lifestyle,4.4,826 Reviews,Private,Bangalore + 48 more,21 years old,10000+ employees
24/7 Customer,3.8,822 Reviews,Private,San Jose + 6 more,20 years old,10000+ employees
Vishal Mega Mart,4.0,819 Reviews,Private,Gurugram + 46 more,34 years old,5001-10000 employees
Dilip Buildcon,4.1,816 Reviews,Public,Bhopal + 46 more,32 years old,10000+ employees
café Coffee day,4.0,813 Reviews,Private,Banglore + 41 more,24 years old,10000+ employees
Voltas,4.2,808 Reviews,Public,Mumbai + 46 more,66 years old,10000+ employees
Edelweiss,3.9,808 Reviews,Public,Mumbai + 47 more,25 years old,10000+ employees
Yamaha Motor,4.0,808 Reviews,Private,Iwata + 43 more,65 years old,10000+ employees
JMC Projects,4.2,798 Reviews,Public,Mumbai + 47 more,38 years old,5001-10000 employees
Blue Star,4.2,795 Reviews,Public,Mumbai + 47 more,77 years old,10000+ employees
Kotak Mahindara Life Ins...,3.9,791 Reviews,,Mumbai + 46 more,19 years old,10000+ employees
MRF Tyres,3.8,791 Reviews,Public,Chennai + 44 more,74 years old,10000+ employees
Birla Sun Life Insurance,4.2,790 Reviews,Partnership,Mumbai + 47 more,20 years old,10000+ employees
Exide Industries,4.0,789 Reviews,Public,Kolkata + 45 more,100 years old,10000+ employees
Exide Life Insurance,3.7,787 Reviews,Private,Bengaluru + 45 more,19 years old,10000+ employees
PNB MetLife,3.8,786 Reviews,Private,Mumbai + 44 more,19 years old,10000+ employees
AFCONS Infrastructure,4.4,786 Reviews,Partnership,Mumbai + 38 more,61 years old,5001-10000 employees
Itc Infotech India,3.4,776 Reviews,Private,Kolkata + 26 more,20 years old,10000+ employees
RBL Bank,3.8,773 Reviews,Public,Mumbai + 45 more,77 years old,10000+ employees
PVR Cinemas,4.2,771 Reviews,Public,Gurgaon + 45 more,23 years old,10000+ employees
Aakash Institute,3.5,766 Reviews,Private,New Delhi + 46 more,32 years old,1001-5000 employees
Blue Dart Express,4.1,763 Reviews,Public,Mumbai + 48 more,37 years old,10000+ employees
Biocon,4.2,762 Reviews,Public,Bangalore + 44 more,42 years old,10000+ employees
Ajanta Pharma,3.9,762 Reviews,Public,Mumbai + 45 more,47 years old,5001-10000 employees
Tata Motors Finance,4.3,760 Reviews,Private,Thane + 47 more,63 years old,1001-5000 employees
Bank of America,4.3,758 Reviews,Private,Charlotte + 19 more,22 years old,10000+ employees
Micro Labs,3.8,753 Reviews,Private,Bangalore + 46 more,47 years old,10000+ employees
Ola Cabs,4.0,750 Reviews,Private,Bangalore + 46 more,10 years old,10000+ employees
Tata AIA Life Insurance,3.9,750 Reviews,Private,Mumbai + 47 more,19 years old,10000+ employees
Sterling & Wilson,4.1,749 Reviews,Private,Mumbai + 45 more,93 years old,5001-10000 employees
Punj Lloyd,4.2,748 Reviews,Public,Gurugram + 46 more,32 years old,5001-10000 employees
Emcure Pharmaceuticals,3.7,747 Reviews,Private,Pune + 47 more,39 years old,10000+ employees
Udaan,4.2,747 Reviews,Private,Bangalore + 47 more,4 years old,1001-5000 employees
3i Infotech,3.8,743 Reviews,Public,Mumbai + 49 more,27 years old,5001-10000 employees
Welspun Group,4.2,743 Reviews,Public,Mumbai + 25 more,35 years old,10000+ employees
Ambuja Cements,4.2,741 Reviews,Public,Mumbai + 49 more,37 years old,10000+ employees
Force Motors,3.8,740 Reviews,Public,Pune + 44 more,62 years old,10000+ employees
Randstad,4.0,739 Reviews,Private,Diemen + 47 more,60 years old,10000+ employees
Mankind Pharma,4.1,739 Reviews,Private,New Delhi + 48 more,25 years old,10000+ employees
BigBasket,4.1,738 Reviews,Private,Bangalore + 31 more,9 years old,5001-10000 employees
Shahi Exports,4.2,736 Reviews,Private,Faridabad + 29 more,46 years old,10000+ employees
Tata Capital Financial S...,4.2,728 Reviews,Public,Mumbai + 46 more,13 years old,5001-10000 employees
Mahindra Holidays & Reso...,3.8,725 Reviews,Private,Mumbai + 47 more,24 years old,10000+ employees
JK Tyres,3.9,725 Reviews,Private,New Delhi + 49 more,69 years old,10000+ employees
I Process Services,3.7,725 Reviews,Private,New Delhi + 46 more,15 years old,10000+ employees
Karvy Data Management Se...,3.6,723 Reviews,Private,Hyderabad + 44 more,12 years old,1001-5000 employees
Indiabulls,4.0,720 Reviews,Public,Mumbai + 48 more,20 years old,10000+ employees
ACT Fibernet,4.1,719 Reviews,Private,Bangalore + 22 more,12 years old,5001-10000 employees
Sobha,4.2,716 Reviews,Public,Bangalore + 23 more,25 years old,1001-5000 employees
Amara Raja Group,4.1,714 Reviews,Public,Tirupati + 48 more,35 years old,10000+ employees
Computer Sciences Corpor...,3.5,713 Reviews,Private,Virginia + 29 more,61 years old,10000+ employees
Raymond,4.3,713 Reviews,Public,Mumbai + 48 more,95 years old,10000+ employees
Cholamandalam MS General...,4.1,713 Reviews,Joint Venture,Chennai + 45 more,19 years old,10000+ employees
Power Mech Projects,3.9,712 Reviews,Public,Hyderabad + 44 more,21 years old,10000+ employees
GSK Pharmaceuticals,4.3,710 Reviews,,Gothenberg + 46 more,93 years old,10000+ employees
Vertex Customer Solution...,3.7,709 Reviews,Private,Panchkula + 30 more,10 years old,10000+ employees
Conduent,3.5,703 Reviews,Private,"Florham Park,New Jersey + 12 more",3 years old,10000+ employees
GlobalLogic,3.7,701 Reviews,Private,San Jose + 14 more,20 years old,10000+ employees
Emami,3.9,701 Reviews,Public,Kolkata + 45 more,46 years old,10000+ employees
Nayara Energy,4.2,700 Reviews,,Mumbai + 46 more,31 years old,10000+ employees
IDBI Bank,4.0,699 Reviews,Public,Mumbai + 44 more,56 years old,10000+ employees
